UID,X,Y,name_first,name_second,introduction,difficulty,completionTime,length,difficulty_level_1,difficulty_level_1,course_style,duration_nights,duration_up_to_time,distance
1,167.6827234,-45.46948876,Kepler Track, Rainbow Reach to Shallow Bay or Moturau Hut,"To sample the Kepler Track (a Great Walk) or for an easy overnight tramp for kids, follow this track through beech forest to Moturau Hut and Shallow Bay on Lake Manapori.",Intermediate,3 - 3 hr 30 min return,15603.61,3,1,return,0,3.5,15.61 kilometer
2,176.0745315,-38.76141785,Five Mile Bay and Awaroa Tracks,,"These family friendly tracks stretch along the expanse of Five Mile Bay, and are great for either walking or biking.",Easiest,30 min - 1hr,5128.95,1,1,one_way,0,1,5.13 kilometer
3,174.074665,-35.30662035,Oromahoe Traverse,,"Enjoy lovely forest and sea views on the Oromahoe Traverse, which follows a ridgeline through regenerating hardwood/podocarp forest, linking Oromahoe Road with School Road, near Paihia.",Intermediate,2 hr 30 min one way,5209.61,3,1,one_way,0,2.5,5.21 kilometer
4,175.2325144,-40.64655285,Papaitonga Scenic Reserve walks,,"Take a short, easy walk around a dune lake with some great spots to enjoy views and look for/listen to birds - it's a good option for kids.",Easiest,10 min | 20 min,1426.19,1,1,one_way,0,0.33,1.43 kilometer
5,169.5808408,-44.45948767,Melina Ridge Track ,,This is a classic mountain bike ride located in lower Ahuriri valley. ,Advanced,8 - 10 hr,4761.84,4,1,one_way,0,10,4.77 kilometer
6,170.0530523,-44.55172092,Lake Benmore area tracks ,,Several enjoyable walking tracks are located near Lake Benmore in the Waitaki valley. ,Easy,1hr 30 min - 2 hr,9112.76,2,1,one_way,0,2,9.12 kilometer
7,169.2571988,-44.17880346,Blue-Young Link Track,,"An extension of the very popular Blue Pools Walk and connects with the Young River. It's  also an alternative, high river route to the stat of the Gillespie Pass Circuit.  ",Intermediate,3 -4 hr,5804.67,3,1,one_way,0,4,5.81 kilometer
8,167.4965809,-45.72059096,North Borland Track,,"This tramping track offers an excellent trip to the North Borland Hut in Monowai, Fiordland.",Advanced,6 - 8 hours to hut,9004.64,4,1,one_way,0,8,9.01 kilometer
9,176.0357182,-39.94800817,Iron Gate Hut Track,,Iron Gate Hut is a good day's hike along a sidle track up the Oroua River valley. Longer tramps are possible from this hut. Stay a night and return the same way.,Advanced,4 - 5 hr,7943.4,4,1,one_way,0,5,7.95 kilometer
10,175.1929246,-38.95158757,Te Maire Loop Track,,Walk through a fine example of the podocarp forest that once covered much of the central North Island - it's a suitable track for kids.,Easy,2 hr,3619.16,2,1,one_way,0,2,3.62 kilometer
11,175.8976195,-38.9107737,Oruatua walks,,"At the mouth of the Tauranga-Taupo River in the small village of Oruatua, there are two easy walking tracks to enjoy the river, the native bush of the reserves and the expansive lake views.",Easy,30 - 50 min,2249.25,2,1,one_way,0,0.83,2.25 kilometer
12,174.4152469,-35.67853303,Taheke Waterfall Track,,This lovely 3-km loop track leads through a grove of regenerating kauri and offers views of the Taheke Waterfall. ,Easy,2 hr,2355.61,2,1,one_way,0,2,2.36 kilometer
13,175.7403629,-39.02305849,Rotopounamu Track,,"This track circles a beautiful lake surrounded by native forest and is a special favourite of tree lovers, birdwatchers, and families.",Easy,2 hr,4748.69,2,1,one_way,0,2,4.75 kilometer
14,174.4652588,-36.84250676,Mokoroa Stream Track ,,The Mokoroa Stream Track is a challenging loop walk which comes off the Goldie Bush Walkway.,Easy,2-3 hr one way,3741.22,2,1,one_way,0,3,3.75 kilometer
15,168.6052622,-43.98688424,Jackson Bay Okahu walks,,"For an easy walk head to the rocky shore where kids of all ages can explore tidal pools, or follow an old pioneer's track before continuing down the river to the coast.",Easy,20 min - 2 hr,6067.52,2,1,one_way,0,2,6.07 kilometer
16,168.5798598,-45.06307697,Seven Mile Track/Wilson Bay Track,,Walk or bike through regenerating bush and pine forest with views of Wilson Bay.,Easy,1 hr 30 min one way,2784.63,2,1,one_way,0,1.5,2.79 kilometer
17,175.4315615,-36.20812068,Kaitoke Hot Springs Track to Mt Hobson (Hirakimata),,Kaitoke Hot Springs Track is a popular easy walk following the edge of the Kaitoke Swamp to sulphurous hot springs. Continue on the Peach Tree Track to Mt Hobson (Hirakimata).,"Easiest,Advanced",45 min | 4 hr one way,5759.62,1,4,one_way,0,4,5.76 kilometer
18,169.2132875,-44.12294067,Blue Valley Track,,This track is easily accessible and an interesting day or overnight trip.,Advanced,2-3 hr one way,15933.36,4,1,one_way,0,3,15.94 kilometer
19,174.0833921,-35.28901495,Paihia School Road Track,,"A pleasant walk through regenerating forest to a lookout that offers stunning views over Waitangi, the Bay of Islands and Russell.",Easy,1 hr,1334.95,2,1,one_way,0,1,1.34 kilometer
20,169.8797173,-43.6102812,Copland Track to Welcome Flat Hut,,"This popular tramp gives a glimpse of Westland’s spectacular forest, river and mountain scenery, with natural hot pools at Welcome Flat an added attraction.",Intermediate,7 hr one way,15595.86,3,1,one_way,0,7,15.6 kilometer
21,175.8928309,-39.15028412,Urchin and Umukarikari tracks,,Climb above the bush line to the exposed alpine ridge of   Umukarikari and Mount Urchin. Enjoy fantastic views and access the Waipakihi valley and hut.,Advanced,1 - 2 days,24941.01,4,1,one_way,1,24,24.95 kilometer
22,170.1680118,-43.42483373,Sentinel Rock Walk,,"Enjoy impressive views of the glacier, the valley and Waiho River from the summit of this short steady climb.",Easiest,20 min,227.29,1,1,one_way,0,0.33,227.29 meter
23,174.3527108,-35.9284592,Waipu Caves Track,,"From the caves, a 2-km walk leads you through a picturesque karst limestone landscape across farmland and regenerating bush to a point where you can take in the magnificent views. Within the entrance to the caves themselves, you will find stalactites, sta",Easy,1 hr 30 min return,1747.26,2,1,return,0,1.5,1.75 kilometer
24,175.3941138,-36.22917449,Whangaparapara," Tramline, Pack & Withey Tracks",Combine these tracks for a circuit walk from Whangaparapara.,Advanced,Various: 1 - 6 hr one way,5461.63,4,1,one_way,0,6,5.47 kilometer
25,169.8725393,-44.36927697,Wairepo Kettleholes Track,,Wairepo Kettleholes provide a feeding area for both native and introduced birds. ,Easy,1 hr one way,2688.62,2,1,one_way,0,1,2.69 kilometer
26,170.0872529,-43.71916552,Mueller Hut Route,,"At 1800 metres on the Sealy Range, Mueller Hut provides a 360-degree panorama encompassing glaciers, ice cliffs, vertical rock faces and New Zealand’s highest peaks.",Advanced,4 hr one way,6546.78,4,1,one_way,0,4,6.55 kilometer
27,169.4589776,-46.43875107,Catlins River-Wisp Loop Track,,"An attractive, forest-lined river walk of three sections that has several natural features and access to good fishing. ",Advanced,One long or two shorter days,13177.36,4,1,one_way,1,24,13.18 kilometer
28,173.9437527,-34.9979248,Motukawanui Island Track ,,"Enjoy outstanding views of Mahinepua Peninsula, Matauri Bay and other forested islands of the Cavalli group from this walk along the ridge tops.",Easy,1 hr 50 min,3808.87,2,1,one_way,0,1.85,3.81 kilometer
29,175.859234,-37.51728376,Wairoa Track,,The track provides spectacular views of the Wairoa Valley to Ananui Falls. The central Kaimai Mamaku Forest Park is rich in cultural and historical remains including logging era relics. ,Advanced,4 hours one way,5020.47,4,1,one_way,0,4,5.03 kilometer
30,169.6450692,-44.47461203,Pavilion Peak Track,,This track traverses a range in the Lindis Conservation Area. ,Advanced,8 - 10 hr,17401.63,4,1,one_way,0,10,17.41 kilometer
31,176.2138949,-39.75568455,Wakarara Road End routes,,"There are a variety of tramping routes from Wakarara road end in the Eastern Ruahine Forest Park, including Gold Creek and Barlow Hut.",Expert,6-7 hr over 1-2 days,4957.81,5,1,one_way,8,192,4.96 kilometer
32,170.1872879,-43.39340539,Callery Gorge Walk,,Follow the Callery Gorge Walk as it climbs to a high terrace before descending to the Callery River.  ,Easy,1 hr 20 min,2485.15,2,1,one_way,0,1.25,2.49 kilometer
33,172.595774,-41.79585298,Flower Brothers Walk,,"From Lake Rotoroa car park, this track passes through a stand of kahikatea and around the lake outlet emerging on the road near Lake Rotoroa Lodge.",Easiest,15 min,176.02,1,1,one_way,0,0.33,176.02 meter
34,175.9287382,-40.17379996,Kumeti Road End tramping tracks,,From Kumeti Road End in Eastern Ruahine Forest Park you can take tramping tracks to Opawe Rd and Kiritaki Hut. ,Advanced,7 hr 30 min,13635.61,4,1,one_way,0,7.5,13.64 kilometer
35,177.2781492,-38.41366129,"Moanui, Koranga, Tawa Track",,This loop track provides options for an overnight tramp with children or a multi-day tramp.,Advanced,2 - 3 days,24114.61,4,1,one_way,2,48,24.12 kilometer
36,174.0837644,-39.31441218,Fanthams Peak/Panitahi and Syme Hut Track,,On a clear day this tramp offers great views up the mountain and down to the Taranaki Ring Plain and the coastline.,"Advanced,Expert",5–6 hr return,4256.8,4,2,return,0,6,4.26 kilometer
37,168.1267263,-44.81812323,Routeburn Track, Key Summit Track,Enjoy panoramic views over mountains and alpine lakes on this half-day walk off Milford Road on the Routeburn Track - it's suitable families with children.,Intermediate,3 hr,4833.24,3,1,one_way,0,3,4.84 kilometer
38,175.7814129,-37.26116627,Maratoto - Wentworth Crossing ,,Experienced trampers can cross from Maratoto to Wentworth.,Advanced,5 hr one way,9481.5,4,1,one_way,0,5,9.49 kilometer
39,171.5456759,-42.94499698,Avalanche Peak - Crow River Route,,"This route makes a good weekend trip, all against a backdrop of some of the best features of Arthur’s Pass National Park – glaciers, mountain peaks and ice-fed rivers. Crow Hut is at the bush edge in an alpine meadow.",Expert,2 days,11802.65,5,1,one_way,2,48,11.81 kilometer
40,174.3900604,-36.06466969,Piroa Falls Track,,"Follow a 200 m track across the Ahuroa River and on to the picturesque Piroa Falls. The river has many suitable swimming holes along the track, making it a fun walk for children. ",Easy,5 min,139.07,2,1,one_way,0,0.17,139.08 meter
41,170.9596454,-44.66690682,Gunns Bush Track,,Walk along an enchanting moss carpet.,Easy,1 hr 30 min return,3107.47,2,1,return,0,1.5,3.11 kilometer
42,174.0414961,-41.36874812,Whites Bay tracks,,"Whites Bay has walks for a range of abilities, including kids - there are  rocky areas for scrambling and exploring and a near-flat sandy beach that's excellent for swimming too.",Easy,10 min - 9 hr,20367.52,2,1,one_way,0,9,20.37 kilometer
43,172.6957002,-34.42912298,Tapotupotu Bay to Cape Reinga/Te Rerenga Wairua,,"Starting at Tapotupotu Bay, this 5 km track offers incredible views before descending into Sandy Bay and on to the Cape Reinga lighthouse. An option for families camping at Tapotupotu.",Easy,3 hr,3632.31,2,1,one_way,0,3,3.64 kilometer
44,167.1700337,-45.47892229,Old Doubtful Sound Track,,"This tramping track follows a century-old trail in Deep Cove, Doubtful Sound, through mixed podocarp forest. ",Advanced,3 hr return,1151.12,4,1,return,0,3,1.16 kilometer
45,170.1785537,-43.41584083,Douglas Walk,,"This short, easy forest walk passes by a reflective lake and crosses over glacial landforms - it's suitable for children.",Easy,1 hr,1637.2,2,1,one_way,0,1,1.64 kilometer
46,170.1630012,-43.82164377,Tasman River tracks ,,Tasman River is a large braided river which flows into Lake Pukaki. There are walking and cycling tracks in the area. ,Advanced,2 or 3 hr one way,11708.99,4,1,one_way,0,3,11.71 kilometer
47,174.6454256,-36.34569595,"Dome Forest car park to Govan Wilson Rd, Matakana ",,"A challenging longer walk (7 hrs) through regenerating native forest that is also part of Te Araroa, The Long Pathway. The track starts at the Dome carpark and ends at Govan Wilson Rd, Matakana.  ",Advanced,7 hr one way,11737.91,4,1,one_way,0,7,11.74 kilometer
48,175.9688141,-38.88315273,Waipehi Walk,,"Starting from Motutere Bay on the eastern shores of Lake Taupo take in the views, the native bush and the volcanic heritage of the area.",Easy,1 hr,1310.66,2,1,one_way,0,1,1.32 kilometer
49,177.8797722,-39.12576254,Mahia Peninsula Scenic Reserve Track,,Walk through one of the best examples of semi coastal forest on the east coast of the North Island on this loop track - it's suitable for older children.,Advanced,2 hr 30 min,3752.15,4,1,one_way,0,2.5,3.76 kilometer
50,170.4064419,-45.81564491,Chalkies Track,,Climb 400 m on this steep loop track which traverses Powder Hill to see spectacular views of the Silver Peaks and Saddle Hill.,Advanced,3 hr 30 min,4694.18,4,1,one_way,0,3.5,4.7 kilometer
51,170.6249129,-43.65347115,Macaulay Hut Track,,"Macaulay valley can be accessed on foot, or by mountain bike, horse or 4WD.",Advanced,5 hr one way,18213.47,4,1,one_way,0,5,18.22 kilometer
52,174.0455177,-35.19197683,Akeake Historic Reserve Track,,"The track starts from Opito Bay and splits into a series of short, easy walks suitable for children - visit a small beach in the Te Puna Inlet and a pa site on Tareha Point.",Easy,15-30 min one way,1306.95,2,1,one_way,0,0.5,1.31 kilometer
53,171.4016795,-42.62703957,Bain Bay Track,,The Bain Bay Track travels through wetlands and around the lake shore to Bain Bay.,Easy,2.5 hr,3438.49,2,1,one_way,0,2.5,3.44 kilometer
54,174.0524657,-39.26367648,Pouakai Circuit,,"Egmont National Park’s premier 2–3 day tramp offers spectacular views of Mt Taranaki and the surrounding countryside. The 25 km track passes through forest, alpine tussock fields and the unique Ahukawakawa Swamp. ",Advanced,2 - 3 days,20785.83,4,1,one_way,2,48,20.79 kilometer
55,172.6933589,-34.47926107,Te Werahi Beach to Twilight Beach,,"Experience gorgeous peach-coloured dunes, unusual dune grasses, and views of Cape Maria van Diemen and Motuopao Island on this 3-hour track to Twilight Beach.",Easy,3 hr,25573.05,2,1,one_way,0,3,25.58 kilometer
56,173.7732223,-41.04975194,Piwakawaka Track,,Piwakawaka Track is easy walking track leading from the northern end of Elaine Bay to a small beach.,Easy,45 min,2174.67,2,1,one_way,0,0.83,2.18 kilometer
57,168.0575763,-45.04066381,East Eglinton Track,,"This challenging tramping route leads from the Milford Road, up the East Eglinton river valley through beech forest. ",Expert,2 hr one way to river forks,7337.96,5,1,one_way,0,2,7.34 kilometer
58,168.452662,-44.62401,Kea Basin Track,,It takes half a day to climb to this beautiful sub-alpine tussock basin beneath Mt Earnslaw/Pikirakatahi.,Advanced,8 - 10 hr return,3131.2,4,1,return,0,10,3.14 kilometer
59,175.8721946,-37.73557363,Wairere Falls Track,,Wairere Falls Track weaves its way through moss covered rocks and tree roots. Large round boulders form natural pools and cascading waterfalls.,"Easy,Advanced",3 - 4 hr,3419.14,2,3,one_way,0,4,3.42 kilometer
60,171.8607645,-42.89424765,Minchin  Pass Route,,This route travels the eastern and northern flanks of Arthur's Pass National Park. The sections through the upper Minchin Stream and Townsend Creek are more adventurous.,Expert,3 - 4 days,41029.96,5,1,one_way,3,72,41.03 kilometer
61,174.0909565,-35.16835495,Marsden Cross Track,,"This walk, suitable for kids, leads across farmland to the site of the first mission settlement in New Zealand.",Easy,40 min,1807.07,2,1,one_way,0,0.67,1.81 kilometer
62,170.2063326,-43.24879289,Pakihi Walk,,Pakihi Walk climbs through kamahi and rimu forest to a platform lookout.,Easiest,30 min,487.72,1,1,one_way,0,0.5,487.73 meter
63,172.0382551,-43.22452623,Wharfedale Hut tracks,,Walk or mountain bike to Wharfedale Hut.,Intermediate,1–2 days,14190.84,3,1,one_way,1,24,14.2 kilometer
64,176.4194513,-39.17812484,Te Puia Hut Track  and Mangatainoka Hot Springs,,"Walk to Te Puia Hut for an easy overnight tramp, or continue on to hot springs surrounded by bush and with river views.",Intermediate,1–2 days,8815.52,3,1,one_way,1,24,8.82 kilometer
65,175.9551693,-39.13911027,Waipakihi River tracks,,"Head up the Waipakihi River Valley, a popular option for hunters to access the tops, or a great day out for swimming in the summer.",Expert,Various times,3184.24,5,1,one_way,0,12,3.19 kilometer
66,175.0473499,-41.31867498,Papatahi Crossing,,Fit and experienced trampers can cross the Remutaka Range via Papatahi (902 m) from mid-Orongorongo valley to the Wairarapa side of the Remutaka Forest Park.,Advanced,12 hr,20543.12,4,1,one_way,0,12,20.55 kilometer
67,172.6788534,-34.42806531,Cape Reinga/Te Rerenga Wairua Lighthouse Walk,,Enjoy outstanding panoramic views and pay respect to a site steeped in Maori tradition on a short stroll to an iconic lighthouse - it's suitable for children and buggies.,Easiest,10 min,379.29,1,1,one_way,0,0.17,379.29 meter
